book_title,male_characters,male_characters_names,female_characters,female_characters_names,none,unknown_gender_names,authors_sex
1883_molesworth-the-boys-and-i-a-childs-story-for-children,4,"['partridge', 'horace', 'pierson', 'uncle geoff']",5,"['audrey', 'marie', 'racey', 'miss doldy', 'miss goldy']",0,[],female
1905_meade-a-plain-girl,17,"['squire', 'jim', 'squibs', 'wallis', 'sophocles', 'salviati', 'heinrich', 'fray', 'master alex', 'mademoiselle wrex', 'professor grant', 'twopenny tube', 'master charley', 'squire aldyce', 'uncle charles', 'fraulein schumacher', 'von marlo']",37,"['dearie', 'fhemie', 'rosalind', 'agnes', 'knight', 'nancy', 'easter', 'justine', 'rita', 'calais', 'baroness', 'augusta', 'gussie', 'hermione', 'hannah', 'comtesse', 'agnes swan', 'miss donnithorne', 'mrs moore', 'comtesse riki', 'rita swan', 'rachel grant', 'mrs frazer', 'hermione aldyce', 'miss dumps', 'lady anne', 'lady anne churton', 'miss rachel', 'bella vista', 'lady lilian', 'rosalind mayhew', 'miss grace', 'lilian st leger', 'baroness elfreda', 'augusta moore', 'grace donnithorne', 'miss grace donnithorne']",2,"['holgarten', 'gablestein']",female
1890_meade-the-honorable-miss-a-story-of.an-old-fashioned-town,25,"['loftie', 'davis', 'jove', 'hunt', 'morris', 'albert', 'gus', 'bayard', 'rector', 'perry', 'mab', 'gusty', 'sam', 'augustus', 'peter', 'albert bell', 'mr ingram', 'matty bell', 'captain bertram', 'mr hart', 'come kitty', 'major bertram', 'rosendale manor', 'mr jones', 'loftus bertram']",43,"['kate', 'trixie', 'sophy', 'susan', 'tester', 'polly', 'clara', 'lucy', 'mabel', 'alice', 'jessie', 'nina', 'eureka', 'martha', 'thursdays', 'jane', 'hannah', 'mabel bertram', 'mrs meadowsweet', 'alice bell', 'martha butler', 'miss matty bell', 'miss bee', 'mary anne', 'sophy bell', 'lady verney', 'josephine hart', 'miss daisy', 'tilly bell', 'miss beatrice', 'polly jenkins', 'miss matty', 'daisy jenkins', 'miss catherine', 'miss catherine bertram', 'miss bells', 'miss peters', 'miss maria', 'miss meadowsweet', 'miss josephine', 'lady georgiana', 'catherine bertram', 'beatrice meadowsweet']",9,"['rosendale', 'beatricite', 'jenkinses', 'beatricites', 'northbury', 'middlemass', 'rectory', 'benjafield', 'hartites']",female
1856_yonge-the-daisy-chain-or-aspirations,110,"['james', 'claudius', 'bruce', 'wight', 'caractacus', 'george', 'atalantis', 'charles', 'orion', 'dogberry', 'posthumus', 'dick', 'forder', 'miltiades', 'ned', 'apollo', 'francois', 'undine', 'harvey', 'tom', 'sophocles', 'scot', 'decius', 'smith', 'hector', 'grey', 'roman', 'aubrey', 'david', 'jem', 'fidele', 'euripides', 'halls', 'whitford', 'eton', 'tommy', 'gospel', 'colin', 'horace', 'rollo', 'ritchie', 'claude', 'toby', 'william', 'owen', 'sam', 'alexander', 'hoxton', 'alan', 'shakespeare', 'noah', 'jack', 'edward', 'ashe', 'ulysses', 'mr everard', 'harvey anderson', 'george herbert', 'alan ernescliffe', 'mr charles wilmot', 'hector ernescliffe', 'sir henry', 'ned anderson', 'aubrey spencer', 'edward anderson', 'mr wllmot', 'uncle arnott', 'jem jennings', 'charles cheviot', 'norman norman', 'mr richard', 'george larkins', 'mr esdaile', 'sir matthew', 'mr ward', 'decius mus', 'lord cosham', 'mr edward wilmot', 'sir henry walkinghame', 'master harry', 'wild sports', 'mr ballhatchet', 'dick may', 'vana gloria', 'mr harrison', 'mr ramsden', 'tom may', 'mr wilmot', 'reverend sir', 'sir matthew fleet', 'captain gordon', 'norman ogilvie', 'did margaret', 'master thomas', 'sam axworthy', 'willie brown', 'mr nicolson', 'mr tomkins', 'mr bramshaw', 'harry may', 'nicholas randall', 'mr hazlewood', 'norman ethel', 'mr larkins', 'norman may', 'mr holloway', 'john taylor', 'will adams', 'mr richard may', 'bishop whichcote']",71,"['una', 'jill', 'etheldred', 'coralie', 'susan', 'marie', 'nipen', 'polly', 'alcestis', 'frenchwoman', 'marjorie', 'gertrude', 'anne', 'fanny', 'blanche', 'margarita', 'lucy', 'peg', 'maggie', 'mat', 'cherry', 'jenny', 'easter', 'mackenzie', 'daisy', 'louisa', 'agatha', 'jane', 'poor harry', 'misses anderson', 'poor mary', 'lady leonora langdale', 'lyra innocentium', 'daisy chain', 'gertrude margaret', 'market stoneborough', 'flora may', 'little meta', 'miss bracy', 'miss ethel', 'etheldred may', 'miss margaret', 'lady leonora', 'mrs ledwich', 'lucy taylor', 'jane sparks', 'poor ethel', 'aunt flora', 'miss walkingham', 'poor may', 'margaret norman', 'thy name', 'miss flora', 'cherry elwood', 'jane taylor', 'flora ethel', 'mary hale', 'miss rich', 'louisa anderson', 'miss boulder', 'lady glenbracken', 'miss walkinghame', 'miss winter', 'miss may', 'venus victrix', 'miss mary', 'ethel norman', 'fanny anderson', 'poor norman', 'miss anderson', 'leonora langdale']",17,"['abbotstoke', 'alcaics', 'hoxtons', 'unready', 'fordholm', 'drydale', 'bellairs', 'settlesham', 'flodden', 'perkinson', 'britons', 'ballompre', 'maplewood', 'groveswood', 'cocksmoor', 'stoneborough minster', 'abbotstoke grange']",female
1876_molesworth-carrots-just-a-little-boy,7,"['mott', 'gip', 'pau', 'jack', 'cecil', 'captain desart', 'master carrots']",6,"['dot', 'louise', 'floss', 'sybil', 'bessie', 'miss flossie']",1,['sandyshore'],female
1912_nesbit-the-magic-world,11,"['james', 'magician', 'ken', 'maurice', 'fortunatus', 'kenneth', 'taykin', 'strong', 'mr basingstoke', 'white witch', 'lord hugh']",4,"['aura', 'belinda', 'jane', 'alison']",0,[],female
1883_ewing-marys-meadow-and-other-tales-of-fields-and-flowers,24,"['chris', 'squire', 'james', 'solomon', 'john', 'parkinson', 'dos', 'hobbs', 'chambers', 'francis', 'harry', 'christopher', 'raphael', 'michael', 'arthur', 'jack frost', 'peter paul', 'foolish cowslip', 'uncle jacob', 'alphonse karr', 'mr warner', 'brother benedict', 'godfather time', 'weeding woman']",18,"['sunflower', 'adela', 'mary', 'jael', 'anna', 'bessy', 'leena', 'sunflowers', 'crane', 'little mother', 'miss margery', 'aunt catherine', 'mary meadow', 'queen anne', 'earthly paradise', 'miss grace', 'vrow schmidt', 'honest root']",3,"['nonsuch', 'herbarist', 'honestest root']",female
1861_yonge-the-stokesley-secret,28,"['george', 'david', 'toby', 'sam', 'martin', 'harry', 'ramilies', 'osmond', 'grosvenor', 'samuel', 'euclid', 'johnnie', 'ben', 'davy', 'georgy', 'toby fillpot', 'mr greville', 'mr merrifield', 'george bowles', 'mr carey', 'uncle john', 'osmond greville', 'farmer grice', 'richard ii', 'colonel carey', 'captain merrifield', 'sam henry', 'master davie']",31,"['calliope', 'sarah', 'annie', 'dora', 'rhoda', 'bet', 'thy', 'susie', 'bess', 'anne', 'betty', 'nurse', 'mildred', 'sue', 'mary', 'georgie', 'christabel', 'susan', 'elizabeth', 'sally', 'sukey', 'hannah', 'bessie', 'aunt alice', 'hannah higgins', 'miss fosbrook', 'christabel angela', 'poor hal', 'nurse freeman', 'miss merrifield', 'miss croaker']",3,"['munsterthal', 'purday', 'grandmamma']",female
1908_burnett-the-good-wolf,6,"['barty', 'tim', 'noah', 'ark', 'mr wolf', 'good wolf']",1,['snow feast'],0,[],female
1857_browne-grannys-wonderful-chair,10,"['scrub', 'pounce', 'spy', 'screw', 'spare', 'wary will', 'king winwealth', 'prince wisewit', 'squire trusty', 'reckoning robin']",8,"['snowflower', 'lady greensleeves', 'princess greedalind', 'dame frostyface', 'childe charity', 'queen wantall', 'dame civil', 'faith feignless']",7,"['hardhands', 'tinseltoes', 'fairfeather', 'buttertongue', 'loveleaves', 'drypenny', 'woodwender']",female
