book_index,book_title,"Topic 0: ['yet', 'though', 'house', 'face']","Topic 1: ['put', 'cried', 'house', 'illustration']","Topic 2: ['know', 'though', 'better', 'first']","Topic 3: ['dear', 'know', 'room', 'quite']","Topic 4: ['away', 'face', 'child', 'day']","Topic 5: ['know', 'yer', 'back', 'children']","Topic 6: ['know', 'quite', 'though', 'dear']"
0,1835_sherwood-shanty-the-blacksmith-a-tale-of-other-times,0.167,0.0821,0.3216,0.0551,0.3739,0.0,0.0003
1,1839_sinclair-holiday-house-a-series-of-tales,0.0156,0.1931,0.2313,0.0859,0.3293,0.0022,0.1427
2,1841_martineau-the-settlers-at-home,0.0182,0.2967,0.0628,0.0043,0.3841,0.0014,0.2324
3,1850_sherwood-the-young-lord-and-other-tales-to-which-is-added-victorine-durocher,0.1115,0.0055,0.5361,0.076,0.2669,0.0,0.004
4,1851_hall-turns-of-fortune-and.other-tales,0.0607,0.0184,0.5241,0.0877,0.3078,0.0,0.0013
5,1853_yonge-the-heir-of-redclyffe,0.0327,0.0049,0.5782,0.0466,0.233,0.0,0.1046
6,1854_yonge-the-little-duke-richard-the-fearless,0.3885,0.0258,0.1803,0.0025,0.3754,0.0006,0.0268
7,1855_yonge-the-lances-of-lynwood,0.4685,0.0105,0.2445,0.0001,0.2742,0.0014,0.0009
8,1856_yonge-the-daisy-chain-or-aspirations,0.0368,0.03,0.5289,0.0815,0.2042,0.0001,0.1185
9,1857_browne-grannys-wonderful-chair,0.0729,0.337,0.003,0.0005,0.3948,0.0,0.1918
10,1857_tucker-the-rambles-of-a-rat,0.0924,0.2425,0.2145,0.0276,0.3722,0.0037,0.0471
11,1858_tucker-flora,0.0964,0.0272,0.433,0.0273,0.4094,0.0,0.0065
12,1860_yonge-countess-kate,0.0086,0.05,0.3335,0.0864,0.2279,0.0135,0.28
13,1860_yonge-the-pigeon-pie,0.2098,0.0818,0.2431,0.0187,0.3677,0.0045,0.0743
14,1861_yonge-the-stokesley-secret,0.0131,0.1885,0.2521,0.0956,0.1616,0.0137,0.2754
15,1862_ewing-melchiors-dream-and-other-tales,0.0494,0.2196,0.2574,0.0537,0.2901,0.0117,0.1181
16,1863_tucker-the-crown-of-success,0.0241,0.2194,0.2662,0.0755,0.3129,0.0,0.1021
17,1866_yonge-the-prince-and-the-page-a-story-of-the-last-crusade,0.4694,0.0226,0.2373,0.0001,0.2706,0.0,0.0
18,1867_stretton-jessicas-first-prayer-and-jessicas-mother,0.05,0.0108,0.1138,0.0439,0.6769,0.0168,0.0877
19,1868_stretton-little-megs-children,0.0265,0.0255,0.0184,0.0324,0.681,0.0251,0.1912
20,1869_ewing-mrs-overtheways-remembrances,0.0124,0.204,0.3286,0.1082,0.2221,0.0019,0.1228
21,1869_ewing-the-land-of-lost-toys,0.0,0.4447,0.1253,0.0842,0.1834,0.0,0.1623
22,1869_stretton-alone-in-london,0.0253,0.06,0.056,0.0081,0.5995,0.0362,0.2148
23,1870_ewing-the-brownies-and-other-tales,0.0116,0.4009,0.1435,0.0593,0.2497,0.0,0.1351
24,1871_yonge-little-lucys-wonderful-globe,0.0098,0.4391,0.0205,0.0001,0.212,0.0917,0.2269
25,1872_craik-the-adventure-of-a-brownie,0.0,0.4387,0.0122,0.0263,0.2002,0.0153,0.3073
26,1872_de_la_ramee-a-dog-of-flanders,0.1851,0.1932,0.0664,0.0048,0.5397,0.0024,0.0084
27,1872_meade-scamp-and-i-a-story-of-city-by-ways,0.0159,0.0311,0.1112,0.1115,0.54,0.1821,0.0082
28,1873_ewing-a-flat-iron-for-a-farthing,0.0168,0.1978,0.3834,0.1237,0.1989,0.004,0.0754
29,1875_craik-the-little-lame-prince-and-his-traveling-cloack,0.0475,0.1763,0.1135,0.0272,0.3383,0.0155,0.2817
30,1875_molesworth-tell-me-a-story,0.0004,0.0613,0.0449,0.0058,0.2041,0.0116,0.6718
31,1875_tucker-the-childrens-tabernacle-or-hand-work-and-heart-work,0.0268,0.2766,0.2329,0.0535,0.2867,0.0002,0.1233
32,1876_ewing-jan-of-the-windmill,0.0356,0.3439,0.2547,0.0748,0.2771,0.0134,0.0006
33,1876_ewing-six-to-sixteen-a-story-for-girls,0.0109,0.2385,0.3526,0.1346,0.184,0.0002,0.0791
34,1876_molesworth-carrots-just-a-little-boy,0.0027,0.0428,0.0631,0.0038,0.1299,0.0,0.7577
35,1877_ewing-a-great-emergency-and-other-tales,0.0082,0.314,0.2234,0.0962,0.1918,0.0299,0.1366
36,1877_meade-davids-little-lad,0.0418,0.0078,0.1731,0.1632,0.5563,0.0199,0.0378
37,1877_molesworth-the-cuckoo-clock,0.0034,0.0696,0.0202,0.0233,0.1861,0.0,0.6974
38,1877_sewell-black-beauty,0.0121,0.3506,0.0376,0.0578,0.2883,0.0114,0.2422
39,1878_molesworth-grandmother-dear-a-book-for-boys-and-girls,0.0015,0.0299,0.1515,0.0968,0.1452,0.003,0.572
40,1879_coleridge-the-constant-prince,0.3545,0.0094,0.3098,0.0053,0.3205,0.0001,0.0004
41,1879_ewing-jackanapes-daddy-darwins-dovecot-and-other-stories,0.0986,0.3703,0.1556,0.0446,0.2697,0.0145,0.0466
42,1879_molesworth-the-tapestry-room-a-childs-romance,0.0269,0.0576,0.0443,0.0002,0.2445,0.0004,0.626
43,1880_burnett-louisiana,0.0047,0.0049,0.1385,0.0976,0.3304,0.3723,0.0517
44,1880_meade-mou-sete-a-negro-hero,0.1561,0.0629,0.0998,0.0003,0.5428,0.0322,0.1059
45,1880_molesworth-a-christmas-child-a-sketch-of-a-boy-life,0.0047,0.095,0.0482,0.0024,0.1721,0.0034,0.6743
46,1882_delaramee-bimbi,0.1247,0.2851,0.0663,0.0124,0.4565,0.0093,0.0458
47,1882_ewing-brothers-of-pity-and-other-tales-of-beasts-and-men,0.014,0.4262,0.1417,0.0695,0.2006,0.0412,0.1068
48,1882_meade-a-london-baby-the-story-of-king-roy,0.0019,0.0004,0.0837,0.1267,0.5946,0.1915,0.0013
49,1883_ewing-marys-meadow-and-other-tales-of-fields-and-flowers,0.0349,0.4611,0.1188,0.0445,0.1293,0.0107,0.2008
50,1883_meade-the-childrens-pilgrimage,0.0121,0.0004,0.046,0.1911,0.6102,0.078,0.0622
51,1883_molesworth-the-boys-and-i-a-childs-story-for-children,0.0,0.0317,0.0038,0.0214,0.0668,0.0089,0.8673
52,1883_molesworth-two-little-waifs,0.0,0.0191,0.0693,0.0213,0.1095,0.0,0.7808
53,1884_molesworth-the-little-old-portrait,0.0819,0.0098,0.1959,0.0088,0.3192,0.0001,0.3843
54,1886_delaramee-a-houseparty,0.0943,0.1494,0.3823,0.1098,0.2026,0.0404,0.0212
55,1886_hodgson-burnett-little-lord-fauntleroy,0.0058,0.0248,0.1709,0.1322,0.3369,0.1649,0.1646
56,1886_leslie-a-sailors-lass,0.0274,0.057,0.1281,0.0275,0.3877,0.2089,0.1635
57,1886_meade-a-world-of-girls,0.0161,0.0158,0.1218,0.4363,0.392,0.0018,0.0161
