book_index,book_title,"Topic 0: ['friend', 'exclaimed', 'returned', 'among']","Topic 1: ['yet', 'enough', 'day', 'back']","Topic 2: ['know', 'away', 'night', 'nothing']","Topic 3: ['back', 'cried', 'away', 'look']","Topic 4: ['know', 'school', 'last', 'day']","Topic 5: ['deck', 'away', 'first', 'moment']","Topic 6: ['replied', 'soon', 'day', 'take']"
0,1836_marryat-mr-midshipman-easy,0.045,0.0243,0.2275,0.0,0.0781,0.181,0.444
1,1841_marryat-masterman-ready,0.0064,0.0014,0.2179,0.1433,0.0001,0.0919,0.5389
2,1844_marryat-the-settlers-in-canada,0.0601,0.0002,0.2247,0.0028,0.0278,0.0197,0.6647
3,1845_dickens-the-cricket-on-the-hearth-a-fairy-tale-of-home,0.2201,0.0035,0.6258,0.0279,0.1187,0.0023,0.0017
4,1847_marryat-the-children-of-the-new-forest,0.0323,0.0213,0.3323,0.0001,0.0243,0.0,0.5897
5,1848_marryat-the-little-savage,0.1615,0.0,0.2595,0.0673,0.0097,0.0848,0.4172
6,1851_ruskin-the-king-of-the-golden-river,0.2085,0.0128,0.4242,0.3132,0.0008,0.0347,0.0058
7,1855_kingsley-westward-ho,0.055,0.5147,0.2272,0.0928,0.0317,0.0361,0.0424
8,1856_ballantyne-the-young-fur-traders,0.4913,0.0001,0.1608,0.1644,0.032,0.0171,0.1342
9,1857_ballantyne-the-coral-island-a-tale-of-the-pacific-ocean,0.3154,0.0,0.1087,0.2775,0.0,0.1313,0.167
10,1857_hughes-tom-browns-school-days,0.0732,0.0518,0.2822,0.1056,0.4648,0.0004,0.022
11,1858_ballantyne-martin-rattler,0.4118,0.0115,0.1079,0.2804,0.0114,0.0378,0.1392
12,1858_farrar-eric-or-little-by-little,0.1823,0.0241,0.3999,0.0293,0.3434,0.0172,0.0038
13,1861_hughes-tom-brown-at-oxford,0.0803,0.0321,0.3711,0.0507,0.4059,0.017,0.0428
14,1862_farrar-st-winfreds-the-world-of-school,0.2285,0.0222,0.3642,0.0285,0.3362,0.0112,0.0093
15,1863_ballantyne-fighting-the-whales,0.1519,0.009,0.1529,0.4458,0.0026,0.1839,0.054
16,1863_kingsley-the-water-babies,0.0043,0.1185,0.4437,0.3903,0.0427,0.0,0.0005
17,1865_ballantyne-the-lighthouse,0.4339,0.0277,0.1523,0.1573,0.0192,0.1566,0.053
18,1865_carroll-alices-adventures-in-wonderland,0.0309,0.0,0.6488,0.1879,0.1308,0.0003,0.0013
19,1869_dickens-david-copperfield,0.203,0.0027,0.6265,0.0009,0.1307,0.0135,0.0227
20,1870_hemyng-jack-harkaways-boy-tinker-among-the-turks,0.2761,0.2521,0.1795,0.0064,0.1422,0.0335,0.1102
21,1871_carroll-through-the-looking-glass,0.0078,0.0011,0.6488,0.2303,0.1115,0.0002,0.0003
22,1871_macdonald-at-the-back-of-the-north-wind,0.0207,0.005,0.7872,0.1709,0.0079,0.0079,0.0003
23,1871_macdonald-ranald-bannermans-boyhood,0.0935,0.0181,0.723,0.0995,0.0278,0.0009,0.037
24,1872_ballantyne-the-pioneers,0.4522,0.0,0.0353,0.1493,0.0014,0.043,0.3187
25,1872_macdonald-the-princess-and-the-goblin,0.0826,0.0,0.7495,0.1207,0.0,0.0056,0.0415
26,1873_ballantyne-life-in-the-red-brigade,0.5214,0.0005,0.2578,0.0445,0.118,0.0135,0.0442
27,1873_macdonald-gutta-percha-willie-the-working-genius,0.0802,0.0004,0.7368,0.1375,0.025,0.0198,0.0003
28,1874_ballantyne-the-pirate-city-an-algerine-tale,0.5144,0.1063,0.1343,0.0051,0.0291,0.08,0.1307
29,1875_ballantyne-rivers-of-ice,0.5897,0.0,0.2106,0.07,0.0519,0.0467,0.031
30,1875_macdonald-a-double-story,0.0665,0.047,0.761,0.121,0.0008,0.0004,0.0033
31,1876_adams-hair-breadth-escapes-the-adventures-of-the-three-boys-in-south-africa,0.1738,0.0108,0.1277,0.1129,0.0328,0.1034,0.4386
32,1877_ballantyne-the-settler-and-the-savage,0.3949,0.0322,0.0825,0.1009,0.0259,0.0035,0.3602
