Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.26486791751379857
75% Corpus,2,0.01,0.31,0.2533802661589847
75% Corpus,2,0.01,0.61,0.2572944681132862
75% Corpus,2,0.01,0.9099999999999999,0.25593618093155346
75% Corpus,2,0.01,symmetric,0.2572944681132862
75% Corpus,2,0.31,0.01,0.26486791751379857
75% Corpus,2,0.31,0.31,0.2533802661589847
75% Corpus,2,0.31,0.61,0.2572944681132862
75% Corpus,2,0.31,0.9099999999999999,0.25593618093155346
75% Corpus,2,0.31,symmetric,0.2572944681132862
75% Corpus,2,0.61,0.01,0.26486791751379857
75% Corpus,2,0.61,0.31,0.2533802661589847
75% Corpus,2,0.61,0.61,0.2572944681132862
75% Corpus,2,0.61,0.9099999999999999,0.25593618093155346
75% Corpus,2,0.61,symmetric,0.2572944681132862
75% Corpus,2,0.9099999999999999,0.01,0.26486791751379857
75% Corpus,2,0.9099999999999999,0.31,0.2533802661589847
75% Corpus,2,0.9099999999999999,0.61,0.2572944681132862
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.25593618093155346
75% Corpus,2,0.9099999999999999,symmetric,0.2572944681132862
75% Corpus,2,symmetric,0.01,0.26486791751379857
75% Corpus,2,symmetric,0.31,0.2533802661589847
75% Corpus,2,symmetric,0.61,0.2572944681132862
75% Corpus,2,symmetric,0.9099999999999999,0.25593618093155346
75% Corpus,2,symmetric,symmetric,0.2572944681132862
75% Corpus,2,asymmetric,0.01,0.26486791751379857
75% Corpus,2,asymmetric,0.31,0.2533802661589847
75% Corpus,2,asymmetric,0.61,0.2572944681132862
75% Corpus,2,asymmetric,0.9099999999999999,0.25593618093155346
75% Corpus,2,asymmetric,symmetric,0.2572944681132862
75% Corpus,3,0.01,0.01,0.25959393088376775
75% Corpus,3,0.01,0.31,0.25959393088376775
75% Corpus,3,0.01,0.61,0.25959393088376775
75% Corpus,3,0.01,0.9099999999999999,0.26189697188882394
75% Corpus,3,0.01,symmetric,0.25959393088376775
75% Corpus,3,0.31,0.01,0.25959393088376775
75% Corpus,3,0.31,0.31,0.25959393088376775
75% Corpus,3,0.31,0.61,0.25959393088376775
75% Corpus,3,0.31,0.9099999999999999,0.26189697188882394
75% Corpus,3,0.31,symmetric,0.25959393088376775
75% Corpus,3,0.61,0.01,0.25959393088376775
75% Corpus,3,0.61,0.31,0.25959393088376775
75% Corpus,3,0.61,0.61,0.25959393088376775
75% Corpus,3,0.61,0.9099999999999999,0.26189697188882394
75% Corpus,3,0.61,symmetric,0.25959393088376775
75% Corpus,3,0.9099999999999999,0.01,0.25959393088376775
75% Corpus,3,0.9099999999999999,0.31,0.25959393088376775
75% Corpus,3,0.9099999999999999,0.61,0.25959393088376775
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.26189697188882394
75% Corpus,3,0.9099999999999999,symmetric,0.25959393088376775
75% Corpus,3,symmetric,0.01,0.25959393088376775
75% Corpus,3,symmetric,0.31,0.25959393088376775
75% Corpus,3,symmetric,0.61,0.25959393088376775
75% Corpus,3,symmetric,0.9099999999999999,0.26189697188882394
75% Corpus,3,symmetric,symmetric,0.25959393088376775
